filename,opt_level,run,runtime_ms,l1_dcache_misses,l1_icache_misses,cache_misses,branch_misses,instructions,cycles
rust_custom,O3,10,4588,257553507,2789963,223691188,49912212,14397762432,15401451747
rust_vanilla,O2,1,4811,267668333,3011573,231783581,49811231,16421048753,16130398237
rust_vanilla,O2,2,4824,262404922,2852510,226585450,49785144,16422117113,16176068369
rust_vanilla,O2,3,4834,276186952,3135955,239201076,49960794,16420325332,16204934845
rust_vanilla,O2,4,4809,274279068,3085967,239256843,49653730,16433324826,16134854663
rust_vanilla,O2,5,4840,257534173,2875338,222424992,49675474,16451046862,16241863537
rust_vanilla,O2,6,4830,262473785,2884635,226911057,49830805,16428893896,16187976227
rust_vanilla,O2,7,4818,259978454,3098347,225168842,49611184,16443594075,16149525481
rust_vanilla,O2,8,4825,275925835,3028155,239476866,49706422,16402533417,16187760330
rust_vanilla,O2,9,4841,261930867,2945913,225886272,49583067,16403571157,16231844091
rust_vanilla,O2,10,4822,261217176,2925332,225970488,49620591,16437239790,16164979533
rust_vanilla,O1,1,5036,263797679,2968268,226025140,50594923,18834158569,16868007700
rust_vanilla,O1,2,5050,270845033,3144528,236122205,50760448,18834071662,16921670353
rust_vanilla,O1,3,5038,273936993,3120648,238328107,50476692,18858897711,16882594377
rust_vanilla,O1,4,5052,273440107,3563258,236213160,50740493,18842482630,16916432454
rust_vanilla,O1,5,5047,276870133,3096172,240493871,50595702,18846721282,16917199658
rust_vanilla,O1,6,5017,269246986,6831675,233391557,50698526,18816625870,16809729927
rust_vanilla,O1,7,5025,281084187,3026667,244281628,50693135,18779607922,16841455707
rust_vanilla,O1,8,5048,266060012,2932413,230192906,50529062,18857013371,16903736649
rust_vanilla,O1,9,5023,270827792,2894717,224331252,50530807,18777021234,16829888345
rust_vanilla,O1,10,5041,264760120,3059556,227330436,50728891,18780447007,16892753045
c,O1,1,4585,366702384,2396055,353036917,48945418,5011045029,15054219330
c,O1,2,4636,309856030,2023075,301860891,48939629,5004969982,15222179430
c,O1,3,4602,364707830,2294860,344462908,48822281,5000206862,15117221812
c,O1,4,4614,317113521,2112609,307583567,49028314,5003970593,15152099087
c,O1,5,4604,331414238,2182840,318137167,48873899,5008210737,15126161273
c,O1,6,4603,358273373,2306249,345662435,48832037,4998612467,15117165650
c,O1,7,4588,334323632,2243550,322387616,49044149,4999510277,15069746655
c,O1,8,4599,333903453,2230224,322792679,48716345,4998119505,15104105556
c,O1,9,4593,319831197,2215968,311504454,49012171,4999073622,15090930725
c,O1,10,4621,320234949,2063882,310801929,49022634,5003576751,15175731415
c,O0,1,5568,320972978,2587229,306918752,46799905,12006163089,18285115895
