filename,opt_level,run,runtime_ms,l1_dcache_misses,l1_icache_misses,cache_misses,branch_misses,instructions,cycles
c,O1,6,N/A,1766419143,12001917,1954915856,189163046,17140044584,92482355469
c,O1,7,N/A,1763183723,12171529,1961760917,189172914,17143739369,92578553523
c,O1,8,N/A,1519146453,11992989,1723500261,189309247,17138896182,96747227526
c,O1,9,N/A,1773706020,12327941,1948136071,189298603,17138505716,92474021339
c,O1,10,N/A,1763132997,12344176,1950707357,189219650,17140179883,92473634684
c,O0,1,N/A,1578489645,14281112,1741069662,190569695,38339611148,108175983409
c,O0,2,N/A,1571383474,13591127,1733643311,190455081,38337125474,107783501393
c,O0,3,N/A,1585227836,13175974,1740950303,190435390,38339016311,108290769146
c,O0,4,N/A,1587853061,13737697,1746328727,190356570,38337542146,108524986113
c,O0,5,N/A,1586978392,15068168,1744723169,190511605,38337239307,108147564787
c,O0,6,N/A,1582468028,14009164,1739210134,190398494,38339441035,107968936973
c,O0,7,N/A,1592252611,14667728,1748014656,190470188,38335983767,108282209261
c,O0,8,N/A,1378994185,13749948,1564133882,190460041,38341407625,111466459588
c,O0,9,N/A,1590150607,13455914,1745573712,190461921,38331758436,107873676282
c,O0,10,N/A,1590243808,13867150,1745384359,190470305,38338375654,108096492625
rust_vanilla,O3,1,32612,1654420841,17547384,1629319244,284378859,81318021008,108888484773
rust_vanilla,O3,2,32652,1681100218,17380187,1627363153,284106302,81325039653,108993995220
rust_vanilla,O3,3,32609,1657612663,18498151,1623289157,284132751,81321896604,108874399392
rust_vanilla,O3,4,32574,1669577046,17622052,1626254943,283898973,81297667131,108774781592
rust_vanilla,O3,5,32482,1656251931,17710442,1624446424,284270194,81299219898,108416201924
rust_vanilla,O3,6,32545,1666938764,17278775,1624335810,284101350,81322418000,108673770730
rust_vanilla,O3,7,32559,1657843884,17817911,1626386901,284209886,81314060488,108743057461
rust_vanilla,O3,8,32560,1651360216,17225372,1620615711,284023881,81303437276,108730942334
rust_vanilla,O3,9,32586,1653502110,17465824,1623415777,284322219,81311933763,108836351753
rust_vanilla,O3,10,32575,1664600260,18332039,1625609865,284529126,81357262861,108776450743
rust_vanilla,O0,1,304761,1161834244,610501989,1136108621,626386536,1286118760638,1005491168290
rust_vanilla,O0,2,299584,1159756892,714808359,1134766493,619710261,1286596262759,989093952571
rust_vanilla,O0,3,303139,1161569615,586520499,1134852279,620332584,1286520962454,1000477527593
rust_vanilla,O0,4,303777,1148208924,584508298,1134942607,621130109,1286487343883,1002601278961
rust_vanilla,O0,5,304320,1146477786,590107187,1129345953,620169782,1286574578455,1004266270007
rust_vanilla,O0,6,300451,1237025099,592248005,1128719747,620865286,1286609605125,991845403120
rust_vanilla,O0,7,305164,1159620284,768039568,1136471089,621416660,1286544387376,1007186246819
rust_vanilla,O0,8,297759,1159912293,583847457,1130760062,621782533,1286473642425,982062880814
