filename,opt_level,run,runtime_ms,l1_dcache_misses,l1_icache_misses,cache_misses,branch_misses,instructions,cycles
rust_vanilla,O3,1,4747,272199534,3215772,237084157,49661919,15495052599,15937445834
rust_vanilla,O3,2,4770,269695651,3068756,236177838,49823792,15504849567,15994713629
rust_vanilla,O3,3,4761,280532170,3489801,245097177,49713210,15479235983,15969976675
rust_vanilla,O3,4,4760,272427500,3161511,238715260,49862609,15490094540,15951952766
rust_vanilla,O3,5,4742,274203960,2999507,238579936,49634323,15495500988,15915116361
rust_vanilla,O3,6,4741,283560058,3112238,246119364,49692812,15489837698,15905915037
rust_vanilla,O3,7,4727,280237755,3056941,245267722,49672809,15501614303,15857278032
rust_vanilla,O3,8,4741,281874658,3141435,245673071,49665301,15489943004,15914147171
rust_vanilla,O3,9,4756,272174664,2928737,237809634,49682163,15497165768,15950145492
rust_vanilla,O3,10,4772,274182597,3042361,239579780,49629637,15483259871,16007913825
rust_vanilla,O0,1,55141,194414414,968141273,168111005,113506982,242319570441,182004952077
rust_vanilla,O0,2,54939,192189066,118853012,165458958,113522589,242373234160,181473770875
rust_vanilla,O0,3,56742,195826648,115666973,168347497,113750474,242303205385,187356519237
rust_vanilla,O0,4,56011,199154919,121074362,167041259,114406413,242236365290,184937994209
rust_vanilla,O0,5,55476,192081030,121961642,164908938,114888513,242332842907,183221864589
rust_vanilla,O0,6,55133,198005384,121132368,170545910,116064787,242367144012,181829420139
rust_vanilla,O0,7,56246,201028095,404684684,173159817,116722682,242389408448,185582204595
rust_vanilla,O0,8,54722,193353319,117551573,168227065,113413752,242326586130,180654355527
rust_vanilla,O0,9,56011,196197509,118570805,168509399,113418720,242234915003,185017988846
rust_vanilla,O0,10,56210,196099786,126569361,169457334,114365484,242257832923,185667759778
c,O3,1,4564,371402561,2352333,354148327,48533510,4906682904,14990552433
c,O3,2,4571,370447298,2327887,355308270,48561293,4905523387,15012419617
c,O3,3,4579,369805836,2333805,355581498,48725200,4900581734,15029033557
c,O3,4,4591,353160462,2317718,340192642,48681167,4900075610,15074288757
c,O3,5,4574,371251230,2473729,356783613,48842362,4907685703,15013854323
c,O3,6,4576,336494899,2261809,324783617,48565257,4905151108,15035413972
c,O3,7,4570,368931492,2221271,353411019,48734397,4900744251,15000079023
c,O3,8,4599,351321604,2350213,338542357,48761837,4900375524,15112157705
c,O3,9,4611,356102157,2483205,343133184,48886154,4911768936,15121574292
c,O3,10,4584,367987410,2440742,353540679,48583022,4908105304,15040592518
rust_custom,O2,1,4665,258802987,3697429,224296843,49864286,14773023732,15664769663
rust_custom,O2,2,4683,248149066,2844619,215015010,49952090,14771974198,15727380761
rust_custom,O2,3,4680,260702912,2865752,226872543,49861996,14787393327,15718670882
rust_custom,O2,4,4667,260832598,2915448,224938294,49765982,14768082641,15676649982
rust_custom,O2,5,4652,258577634,3009265,224372331,49843460,14791923954,15629582391
rust_custom,O2,6,4664,261832416,2897440,225480421,49765819,14762821867,15664446322
rust_custom,O2,7,4692,248011848,2706547,214641748,49805822,14801096354,15752747372
rust_custom,O2,8,4689,247498774,2861922,214172035,49796870,14782464254,15741578728
rust_custom,O2,9,4681,258836658,2927065,224006079,49791202,14781364128,15695992802
rust_custom,O2,10,4661,251341339,2957528,218314516,49923264,14760576449,15654551794
c,O2,1,4592,365306188,2299668,352100379,48623836,4957152538,15079658943
c,O2,2,4602,339043402,2339199,326469791,48816412,4961806507,15086702566
c,O2,3,4592,335549781,2173959,323187064,48616377,4950799244,15092272102
c,O2,4,4594,345335542,2324243,332291578,48552113,4955648957,15084604004
c,O2,5,4592,340817990,2311291,327220241,48660284,4956687799,15089525754
c,O2,6,4589,332149401,2135922,319164112,48485294,4957894667,15077903055
